Company Name,Sector,ESG Score
LUSTER INDUSTRIES BHD,INDUSTRIAL PRODUCTS & SERVICES,75
LUXCHEM CORPORATION BHD,INDUSTRIAL PRODUCTS & SERVICES,50
LYSAGHT GALVANIZED STEEL BHD,INDUSTRIAL PRODUCTS & SERVICES,50
M & A EQUITY HOLDINGS BERHAD,FINANCIAL SERVICES,75
MAA GROUP BERHAD,FINANCIAL SERVICES,50
MAGMA GROUP BERHAD,CONSUMER PRODUCTS & SERVICES,50
MAGNA PRIMA BHD,PROPERTY,50
MAGNI-TECH INDUSTRIES BHD,CONSUMER PRODUCTS & SERVICES,50
MAGNUM BERHAD,CONSUMER PRODUCTS & SERVICES,75
MAH SING GROUP BHD,PROPERTY,100
MAJUPERAK HOLDINGS BHD,PROPERTY,50
MALAKOFF CORPORATION BERHAD,UTILITIES,75
MALAYAN BANKING BHD,FINANCIAL SERVICES,100
MALAYAN CEMENT BERHAD,INDUSTRIAL PRODUCTS & SERVICES,75
MALAYAN FLOUR MILLS BHD,CONSUMER PRODUCTS & SERVICES,75
MALAYAN UNITED INDUSTRIES BHD,CONSUMER PRODUCTS & SERVICES,50
MALAYSIA MARINE AND HEAVY ENG,ENERGY,100
MALAYSIA SMELTING CORPORATION,INDUSTRIAL PRODUCTS & SERVICES,75
MALAYSIA STEEL WORKS (KL)BHD,INDUSTRIAL PRODUCTS & SERVICES,100
MALAYSIAN PACIFIC INDUSTRIES,TECHNOLOGY,100
MALAYSIAN RESOURCES CORPORATION BERHAD,PROPERTY,100
MALPAC HOLDINGS BHD,PLANTATION,50
MALTON BHD,PROPERTY,75
MANULIFE HOLDINGS BERHAD,FINANCIAL SERVICES,75
MARCO HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES,25
MARINE & GENERAL BERHAD,TRANSPORTATION & LOGISTICS,75
MASTER-PACK GROUP BERHAD,INDUSTRIAL PRODUCTS & SERVICES,75
MATRIX CONCEPTS HOLDINGS BHD,PROPERTY,75
MAXIM GLOBAL BERHAD,PROPERTY,75
MAXIS BERHAD,TELECOMMUNICATIONS & MEDIA,75
MAXLAND BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
MAYBULK BERHAD,TRANSPORTATION & LOGISTICS,75
MAYU GLOBAL GROUP BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
MBM RESOURCES BHD,CONSUMER PRODUCTS & SERVICES,75
MBSB BERHAD,FINANCIAL SERVICES,75
MCE HOLDINGS BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
MEDIA CHINESE INTERNATIONAL LIMITED,TELECOMMUNICATIONS & MEDIA,100
MEDIA PRIMA BHD,TELECOMMUNICATIONS & MEDIA,75
MEGA FIRST CORPORATION BHD,UTILITIES,75
MELATI EHSAN HOLDINGS BHD,CONSTRUCTION,50
MELEWAR INDUSTRIAL GROUP BHD,INDUSTRIAL PRODUCTS & SERVICES,75
MENANG CORPORATION (M) BHD,PROPERTY,50
MENTIGA CORPORATION BHD,PLANTATION,50
MERCURY INDUSTRIES BHD,CONSTRUCTION,50
MERIDIAN BERHAD,PROPERTY,25
MESINIAGA BHD,TECHNOLOGY,75
MESTRON HOLDINGS BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
META BRIGHT GROUP BERHAD,CONSUMER PRODUCTS & SERVICES,50
METROD HOLDINGS BERHAD,INDUSTRIAL PRODUCTS & SERVICES,75
METRONIC GLOBAL BHD,INDUSTRIAL PRODUCTS & SERVICES,50
MGB BERHAD,CONSTRUCTION,100
MHC PLANTATIONS BHD,PLANTATION,50
MI TECHNOVATION BERHAD,TECHNOLOGY,75
MICROLINK SOLUTIONS BHD,TECHNOLOGY,75
MIECO CHIPBOARD BHD,INDUSTRIAL PRODUCTS & SERVICES,75
MILUX CORPORATION BHD,CONSUMER PRODUCTS & SERVICES,50
MINHO (M) BHD,INDUSTRIAL PRODUCTS & SERVICES,25
MISC BHD,TRANSPORTATION & LOGISTICS,100
MITRAJAYA HOLDINGS BHD,CONSTRUCTION,50
MK LAND HOLDINGS BHD,PROPERTY,50
MKH BERHAD,PROPERTY,50
MKH OIL PALM (EAST KALIMANTAN) BERHAD,PLANTATION,50
MMM GROUP BERHAD,TELECOMMUNICATIONS & MEDIA,75
MMS VENTURES BHD,TECHNOLOGY,50
MNRB HOLDINGS BHD,FINANCIAL SERVICES,75
MOBILIA HOLDINGS BERHAD,CONSUMER PRODUCTS & SERVICES,75
MPIRE GLOBAL BERHAD,CONSUMER PRODUCTS & SERVICES,50
MR D.I.Y. GROUP (M) BERHAD,CONSUMER PRODUCTS & SERVICES,75
MSM MALAYSIA HOLDINGS BERHAD,CONSUMER PRODUCTS & SERVICES,75
MST GOLF GROUP BERHAD,CONSUMER PRODUCTS & SERVICES,75
MUAR BAN LEE GROUP BERHAD,INDUSTRIAL PRODUCTS & SERVICES,75
MUDA HOLDINGS BHD,INDUSTRIAL PRODUCTS & SERVICES,75
MUDAJAYA GROUP BHD,CONSTRUCTION,50
MUHIBBAH ENGINEERING (M) BHD,CONSTRUCTION,50
MUI PROPERTIES BHD,PROPERTY,50
MULPHA INTERNATIONAL BHD,CONSUMER PRODUCTS & SERVICES,50
MULTI-USAGE HOLDINGS BHD,PROPERTY,50
MY E.G. SERVICES BHD,TECHNOLOGY,100
MYCRON STEEL BHD,INDUSTRIAL PRODUCTS & SERVICES,75
MYNEWS HOLDINGS BERHAD,CONSUMER PRODUCTS & SERVICES,50
MYTECH GROUP BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
NAIM HOLDINGS BHD,PROPERTY,50
NATIONGATE HOLDINGS BERHAD,INDUSTRIAL PRODUCTS & SERVICES,75
NCT ALLIANCE BERHAD,PROPERTY,75
NEGRI SEMBILAN OIL PALMS BHD,PLANTATION,50
NESTLE (M) BHD,CONSUMER PRODUCTS & SERVICES,100
NEW HOONG FATT HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES,50
NEXG BERHAD,TECHNOLOGY,75
NEXTGREEN GLOBAL BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
NI HSIN GROUP BERHAD,CONSUMER PRODUCTS & SERVICES,50
NICHE CAPITAL EMAS HLDG BHD,CONSUMER PRODUCTS & SERVICES,50
NOTION VTEC BHD,TECHNOLOGY,75
NOVA WELLNESS GROUP BERHAD,HEALTH CARE,50
NPC RESOURCES BHD,PLANTATION,50
NTPM HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES,75
NUENERGY HOLDINGS BERHAD,ENERGY,75
OASIS HARVEST CORPORATION BERHAD,CONSUMER PRODUCTS & SERVICES,50
OCB BHD,CONSUMER PRODUCTS & SERVICES,50
OCEANCASH PACIFIC BHD,CONSUMER PRODUCTS & SERVICES,75
OCK GROUP BERHAD,TELECOMMUNICATIONS & MEDIA,75
OCR GROUP BERHAD,CONSTRUCTION,50
OKA CORPORATION BHD,INDUSTRIAL PRODUCTS & SERVICES,25
OLYMPIA INDUSTRIES BHD,CONSUMER PRODUCTS & SERVICES,75
OM HOLDINGS LIMITED,INDUSTRIAL PRODUCTS & SERVICES,100
OMESTI BHD,TECHNOLOGY,75
ONE GLOVE GROUP BERHAD,CONSUMER PRODUCTS & SERVICES,75
ONLY WORLD GROUP HOLDINGS BERHAD,CONSUMER PRODUCTS & SERVICES,50
OPENSYS (M) BHD,TECHNOLOGY,50
OPTIMAX HOLDINGS BERHAD,HEALTH CARE,75
ORIENTAL FOOD INDUSTRIES HLDG,CONSUMER PRODUCTS & SERVICES,50
ORIENTAL HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES,50
ORIENTAL INTEREST BHD,PROPERTY,50
ORNAPAPER BHD,INDUSTRIAL PRODUCTS & SERVICES,50
OSK HOLDINGS BHD,PROPERTY,75
P.A. RESOURCES BHD,INDUSTRIAL PRODUCTS & SERVICES,50
P.I.E. INDUSTRIAL BHD,INDUSTRIAL PRODUCTS & SERVICES,50
PACIFIC & ORIENT BHD,FINANCIAL SERVICES,50
PADINI HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES,75
PAN MALAYSIA CORPORATION BHD,CONSUMER PRODUCTS & SERVICES,50
PANASONIC MANUFACTURING MSIA,CONSUMER PRODUCTS & SERVICES,75
PANSAR BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
PANTECH GROUP HOLDINGS BHD,INDUSTRIAL PRODUCTS & SERVICES,75
PAOS HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES,50
PAPPAJACK BERHAD,FINANCIAL SERVICES,50
PARAGON GLOBE BERHAD,PROPERTY,75
PARAGON UNION BHD,CONSUMER PRODUCTS & SERVICES,50
PARAMOUNT CORPORATION BHD,PROPERTY,75
PARKSON HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES,50
PARKWOOD HOLDINGS BERHAD,PROPERTY,50
PASDEC HOLDINGS BHD,PROPERTY,50
PAVILION REAL ESTATE INV TRUST,REAL ESTATE INVESTMENT TRUSTS,75
PBA HOLDINGS BHD,UTILITIES,50
PBS BERHAD,CONSUMER PRODUCTS & SERVICES,50
PCCS GROUP BHD,CONSUMER PRODUCTS & SERVICES,50
PDZ HOLDINGS BHD,TRANSPORTATION & LOGISTICS,50
PECCA GROUP BERHAD,INDUSTRIAL PRODUCTS & SERVICES,75
PEGASUS HEIGHTS BERHAD,PROPERTY,50
PENSONIC HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES,25
PENTAMASTER CORPORATION BHD,TECHNOLOGY,75
PERAK CORPORATION BHD,TRANSPORTATION & LOGISTICS,75
PERAK TRANSIT BERHAD,CONSUMER PRODUCTS & SERVICES,75
PERDANA PETROLEUM BERHAD,ENERGY,50
PERMAJU INDUSTRIES BHD,CONSUMER PRODUCTS & SERVICES,50
PERTAMA DIGITAL BERHAD,CONSUMER PRODUCTS & SERVICES,50
PESONA METRO HOLDINGS BHD,CONSTRUCTION,75
PESTEC INTERNATIONAL BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
PETRA ENERGY BHD,ENERGY,75
PETRON MALAYSIA REFINING & MARKETING BERHAD,ENERGY,75
PETRONAS CHEMICALS GROUP BHD,INDUSTRIAL PRODUCTS & SERVICES,100
PETRONAS DAGANGAN BHD,CONSUMER PRODUCTS & SERVICES,100
PETRONAS GAS BHD,UTILITIES,100
PGF CAPITAL BERHAD,INDUSTRIAL PRODUCTS & SERVICES,75
PHARMANIAGA BHD,HEALTH CARE,100
PIMPINAN EHSAN BERHAD,CONSTRUCTION,50
PINEHILL PACIFIC BERHAD,PLANTATION,50
PINTARAS JAYA BHD,CONSTRUCTION,50
PJBUMI BHD,INDUSTRIAL PRODUCTS & SERVICES,75
PLB ENGINEERING BHD,PROPERTY,50
PLENITUDE BHD,PROPERTY,75
PLS PLANTATIONS BERHAD,PLANTATION,75
PMB TECHNOLOGY BHD,INDUSTRIAL PRODUCTS & SERVICES,75
PNE PCB BHD,INDUSTRIAL PRODUCTS & SERVICES,50
POH HUAT RESOURCES HOLDINGS,CONSUMER PRODUCTS & SERVICES,75
POH KONG HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES,50
POS MALAYSIA BHD,TRANSPORTATION & LOGISTICS,100
POWER ROOT BERHAD,CONSUMER PRODUCTS & SERVICES,50
PPB GROUP BHD,CONSUMER PRODUCTS & SERVICES,75
PRESS METAL ALUMINIUM HOLDINGS BERHAD,INDUSTRIAL PRODUCTS & SERVICES,100
PRESTAR RESOURCES BHD,INDUSTRIAL PRODUCTS & SERVICES,50
PRG HOLDINGS BERHAD,CONSUMER PRODUCTS & SERVICES,50
PROGRESSIVE IMPACT CORPORATION,INDUSTRIAL PRODUCTS & SERVICES,75
PROPEL GLOBAL BERHAD,ENERGY,75
PROTASCO BHD,CONSTRUCTION,75
PSAHAAN SADUR TIMAH MSIA,INDUSTRIAL PRODUCTS & SERVICES,75
PTT SYNERGY GROUP BERHAD,PROPERTY,50
PUBLIC BANK BHD,FINANCIAL SERVICES,100
PUBLIC PACKAGES HOLDINGS BHD,INDUSTRIAL PRODUCTS & SERVICES,50
PUNCAK NIAGA HOLDINGS BHD,CONSTRUCTION,50
PWF CORPORATION BERHAD,CONSUMER PRODUCTS & SERVICES,50
QES GROUP BERHAD,INDUSTRIAL PRODUCTS & SERVICES,75
QL RESOURCES BHD,CONSUMER PRODUCTS & SERVICES,75
QUALITY CONCRETE HOLDINGS BHD,INDUSTRIAL PRODUCTS & SERVICES,50
RADIUM DEVELOPMENT BERHAD,PROPERTY,75
RALCO CORPORATION BHD,INDUSTRIAL PRODUCTS & SERVICES,50
RANHILL UTILITIES BERHAD,UTILITIES,75
RAPID SYNERGY BHD,PROPERTY,50
RCE CAPITAL BHD,FINANCIAL SERVICES,100
REDTONE DIGITAL BERHAD,TELECOMMUNICATIONS & MEDIA,75
RENEUCO BERHAD,ENERGY,50
RESERVOIR LINK ENERGY BHD,ENERGY,75
RESINTECH BHD,INDUSTRIAL PRODUCTS & SERVICES,75
REVENUE GROUP BERHAD,TECHNOLOGY,75
REX INDUSTRY BHD,CONSUMER PRODUCTS & SERVICES,50
RGB INTERNATIONAL BHD,CONSUMER PRODUCTS & SERVICES,75
RGT BERHAD,INDUSTRIAL PRODUCTS & SERVICES,75
RHB BANK BERHAD,FINANCIAL SERVICES,100
RHONE MA HOLDINGS BERHAD,CONSUMER PRODUCTS & SERVICES,75
RHONG KHEN INTERNATIONAL BERHAD,CONSUMER PRODUCTS & SERVICES,75
RIMBUNAN SAWIT BHD,PLANTATION,50
RIVERVIEW RUBBER ESTATES BHD,PLANTATION,50
ROHAS TECNIC BERHAD,INDUSTRIAL PRODUCTS & SERVICES,100
S & F CAPITAL BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
SALCON BHD,UTILITIES,75
SALUTICA BERHAD,CONSUMER PRODUCTS & SERVICES,50
SAM ENGINEERING & EQUIPMENT,INDUSTRIAL PRODUCTS & SERVICES,75
SAMAIDEN GROUP BERHAD,ENERGY,75
SAMCHEM HOLDINGS BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
SAPURA ENERGY BERHAD,ENERGY,50
SAPURA INDUSTRIAL BHD,INDUSTRIAL PRODUCTS & SERVICES,50
SAPURA RESOURCES BHD,PROPERTY,50
SARAWAK CABLE BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
SARAWAK CONSOLIDATED IND BHD,INDUSTRIAL PRODUCTS & SERVICES,75
SARAWAK OIL PALMS BHD,PLANTATION,75
SARAWAK PLANTATION BHD,PLANTATION,50
SASBADI HOLDINGS BHD,TELECOMMUNICATIONS & MEDIA,75
SAUDIGOLD GROUP BERHAD,CONSUMER PRODUCTS & SERVICES,50
SBC CORPORATION BHD,PROPERTY,50
SCANWOLF CORPORATION BHD,INDUSTRIAL PRODUCTS & SERVICES,50
SCGM BHD,INDUSTRIAL PRODUCTS & SERVICES,75
SCICOM (MSC) BHD,INDUSTRIAL PRODUCTS & SERVICES,75
SCIENTEX BERHAD,INDUSTRIAL PRODUCTS & SERVICES,100
SCIENTEX PACKAGING (AYER KEROH) BERHAD,INDUSTRIAL PRODUCTS & SERVICES,75
SD GUTHRIE BERHAD,PLANTATION,75
SDS GROUP BERHAD,CONSUMER PRODUCTS & SERVICES,50
SEACERA GROUP BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
SEAL INCORPORATED BHD,PROPERTY,75
SEALINK INTERNATIONAL BHD,TRANSPORTATION & LOGISTICS,75
SEE HUP CONSOLIDATED BHD,TRANSPORTATION & LOGISTICS,75
SEG INTERNATIONAL BHD,CONSUMER PRODUCTS & SERVICES,75
SELANGOR DREDGING BHD,PROPERTY,50
SENG FONG HOLDINGS BERHAD,INDUSTRIAL PRODUCTS & SERVICES,75
SENHENG NEW RETAIL BERHAD,CONSUMER PRODUCTS & SERVICES,50
SENI JAYA CORPORATION BHD,TELECOMMUNICATIONS & MEDIA,75
SENTORIA GROUP BERHAD,PROPERTY,25
SENTRAL REIT,REAL ESTATE INVESTMENT TRUSTS,75
SEREMBAN ENGINEERING BERHAD,INDUSTRIAL PRODUCTS & SERVICES,75
SERN KOU RESOURCES BHD,CONSUMER PRODUCTS & SERVICES,50
SHANGRI-LA HOTELS (M) BHD,CONSUMER PRODUCTS & SERVICES,75
SHH RESOURCES HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES,75
SHIN YANG GROUP BERHAD,TRANSPORTATION & LOGISTICS,50
SHL CONSOLIDATED BHD,PROPERTY,50
SIGNATURE INTERNATIONAL BHD,CONSUMER PRODUCTS & SERVICES,50
SIME DARBY BHD,CONSUMER PRODUCTS & SERVICES,75
SIME DARBY PROPERTY BERHAD,PROPERTY,75
SIN HENG CHAN (MALAYA) BHD,PLANTATION,50
SINARAN ADVANCE GROUP BERHAD,CONSUMER PRODUCTS & SERVICES,50
SINMAH CAPITAL BERHAD,CONSUMER PRODUCTS & SERVICES,50
SKB SHUTTERS CORPORATION BHD,INDUSTRIAL PRODUCTS & SERVICES,50
SKP RESOURCES BHD,INDUSTRIAL PRODUCTS & SERVICES,50
SKYGATE SOLUTIONS BERHAD,PROPERTY,50
SKYWORLD DEVELOPMENT BERHAD,PROPERTY,100
SLP RESOURCES BHD,INDUSTRIAL PRODUCTS & SERVICES,50
SMIS CORPORATION BHD,INDUSTRIAL PRODUCTS & SERVICES,75
SNS NETWORK TECHNOLOGY BERHAD,TECHNOLOGY,50
SOLARVEST HOLDINGS BERHAD,ENERGY,75
SOLID AUTOMOTIVE BHD,CONSUMER PRODUCTS & SERVICES,50
SOUTH MALAYSIA INDUSTRIES BHD,PROPERTY,50
SOUTHERN ACIDS (M) BHD,INDUSTRIAL PRODUCTS & SERVICES,50
SOUTHERN CABLE GROUP BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
SOUTHERN STEEL BHD,INDUSTRIAL PRODUCTS & SERVICES,100
SP SETIA BHD,PROPERTY,75
SPORTS TOTO BERHAD,CONSUMER PRODUCTS & SERVICES,100
SPRITZER BHD,CONSUMER PRODUCTS & SERVICES,75
STAR MEDIA GROUP BERHAD,TELECOMMUNICATIONS & MEDIA,75
SUBUR TIASA HOLDINGS BHD,INDUSTRIAL PRODUCTS & SERVICES,50
SUCCESS TRANSFORMER CORP BHD,INDUSTRIAL PRODUCTS & SERVICES,50
SUNGEI BAGAN RUBBER CO (M) BHD,PLANTATION,50
SUNSURIA BERHAD,PROPERTY,75
SUNWAY BERHAD,INDUSTRIAL PRODUCTS & SERVICES,100
SUNWAY CONSTRUCTION GROUP BERHAD,CONSTRUCTION,75
SUNWAY REAL ESTATE INVT TRUST,REAL ESTATE INVESTMENT TRUSTS,100
SUPERCOMNET TECHNOLOGIES BHD,HEALTH CARE,75
SUPERLON HOLDINGS BHD,INDUSTRIAL PRODUCTS & SERVICES,75
SUPERMAX CORPORATION BHD,HEALTH CARE,75
SURIA CAPITAL HOLDINGS BHD,TRANSPORTATION & LOGISTICS,75
SWIFT HAULAGE BERHAD,TRANSPORTATION & LOGISTICS,75
SWS CAPITAL BERHAD,CONSUMER PRODUCTS & SERVICES,50
SYARIKAT TAKAFUL MALAYSIA KELUARGA BERHAD,FINANCIAL SERVICES,75
SYCAL VENTURES BHD,CONSTRUCTION,25
SYMPHONY LIFE BERHAD,PROPERTY,50
T7 GLOBAL BERHAD,ENERGY,75
TA ANN HOLDINGS BHD,PLANTATION,50
TA WIN HOLDINGS BHD,INDUSTRIAL PRODUCTS & SERVICES,75
TAFI INDUSTRIES BHD,CONSUMER PRODUCTS & SERVICES,75
TALAM TRANSFORM BERHAD,PROPERTY,50
TALIWORKS CORPORATION BHD,UTILITIES,75
TAMBUN INDAH LAND BERHAD,PROPERTY,75
TAN CHONG MOTOR HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES,75
TANCO HOLDINGS BHD,PROPERTY,50
TAS OFFSHORE BERHAD,TRANSPORTATION & LOGISTICS,75
TASCO BERHAD,TRANSPORTATION & LOGISTICS,75
TDM BHD,PLANTATION,75
TECHBASE INDUSTRIES BERHAD,CONSUMER PRODUCTS & SERVICES,50
TECHBOND GROUP BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
TECHNA-X BERHAD,ENERGY,50
TECK GUAN PERDANA BHD,CONSUMER PRODUCTS & SERVICES,50
TEK SENG HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES,75
TELADAN GROUP BERHAD,PROPERTY,50
TELEKOM MALAYSIA BHD,TELECOMMUNICATIONS & MEDIA,100
TENAGA NASIONAL BHD,UTILITIES,75
TEO GUAN LEE CORPORATION BHD,CONSUMER PRODUCTS & SERVICES,50
TEO SENG CAPITAL BHD,CONSUMER PRODUCTS & SERVICES,50
TEXCHEM RESOURCES BHD,INDUSTRIAL PRODUCTS & SERVICES,75
TH PLANTATIONS BHD,PLANTATION,75
THETA EDGE BERHAD,TECHNOLOGY,50
THONG GUAN INDUSTRIES BHD,INDUSTRIAL PRODUCTS & SERVICES,75
THREE-A RESOURCES BHD,CONSUMER PRODUCTS & SERVICES,50
THRIVEN GLOBAL BERHAD,PROPERTY,50
TIEN WAH PRESS HOLDINGS BHD,INDUSTRIAL PRODUCTS & SERVICES,50
TIMBERWELL BHD,INDUSTRIAL PRODUCTS & SERVICES,50
TIME DOTCOM BHD,TELECOMMUNICATIONS & MEDIA,75
TIONG NAM LOGISTICS HOLDINGS,TRANSPORTATION & LOGISTICS,50
TITIJAYA LAND BERHAD,PROPERTY,50
TMC LIFE SCIENCES BHD,HEALTH CARE,75
TOMEI CONSOLIDATED BHD,CONSUMER PRODUCTS & SERVICES,50
TOMYPAK HOLDINGS BHD,INDUSTRIAL PRODUCTS & SERVICES,75
TONG HERR RESOURCES BHD,INDUSTRIAL PRODUCTS & SERVICES,50
TOP GLOVE CORPORATION BHD,HEALTH CARE,100
TOWER REITS,REAL ESTATE INVESTMENT TRUSTS,50
TOYO VENTURES HOLDINGS BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
TPC PLUS BHD,CONSUMER PRODUCTS & SERVICES,50
TRC SYNERGY BHD,CONSTRUCTION,50
TRIVE PROPERTY GROUP BERHAD,ENERGY,50
TROPICANA CORPORATION BERHAD,PROPERTY,50
TSH RESOURCES BHD,PLANTATION,75
TSR CAPITAL BHD,CONSTRUCTION,50
TUJU SETIA BERHAD,CONSTRUCTION,50
TUNE PROTECT GROUP BERHAD,FINANCIAL SERVICES,100
TURBO-MECH BERHAD,INDUSTRIAL PRODUCTS & SERVICES,75
TURIYA BHD,TECHNOLOGY,50
TWL HOLDINGS BERHAD,PROPERTY,50
TXCD BERHAD,CONSTRUCTION,50
UCHI TECHNOLOGIES BHD,INDUSTRIAL PRODUCTS & SERVICES,75
UEM EDGENTA BERHAD,INDUSTRIAL PRODUCTS & SERVICES,75
UEM SUNRISE BERHAD,PROPERTY,75
UMEDIC GROUP BERHAD,HEALTH CARE,75
UMS HOLDINGS BHD,INDUSTRIAL PRODUCTS & SERVICES,50
UMS-NEIKEN GROUP BHD,INDUSTRIAL PRODUCTS & SERVICES,75
UNIMECH GROUP BHD,INDUSTRIAL PRODUCTS & SERVICES,50
UNISEM (M) BHD,TECHNOLOGY,100
UNITED MALACCA BHD,PLANTATION,50
UNITED PLANTATIONS BHD,PLANTATION,75
UNITED U-LI CORPORATION BHD,INDUSTRIAL PRODUCTS & SERVICES,50
UOA DEVELOPMENT BERHAD,PROPERTY,75
UOA REITS,REAL ESTATE INVESTMENT TRUSTS,50
UPA CORPORATION BHD,CONSUMER PRODUCTS & SERVICES,50
UWC BERHAD,TECHNOLOGY,100
UZMA BHD,ENERGY,75
V.S INDUSTRY BHD,INDUSTRIAL PRODUCTS & SERVICES,100
VARIA BERHAD,CONSTRUCTION,50
VELESTO ENERGY BERHAD,ENERGY,100
VELOCITY CAPITAL PARTNER BERHAD,INDUSTRIAL PRODUCTS & SERVICES,75
VERSATILE CREATIVE BHD,CONSUMER PRODUCTS & SERVICES,50
VITROX CORPORATION BHD,TECHNOLOGY,100
VIZIONE HOLDINGS BERHAD,CONSTRUCTION,50
VSTECS BERHAD,TECHNOLOGY,75
WANG-ZHENG BHD,CONSUMER PRODUCTS & SERVICES,50
WARISAN TC HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES,75
WASCO BERHAD,ENERGY,100
WATTA HOLDING BHD,INDUSTRIAL PRODUCTS & SERVICES,50
WCE HOLDINGS BERHAD,CONSTRUCTION,75
WCT HOLDINGS BERHAD,CONSTRUCTION,100
WEGMANS HOLDINGS BERHAD,CONSUMER PRODUCTS & SERVICES,50
WELLCALL HOLDINGS BHD,INDUSTRIAL PRODUCTS & SERVICES,50
WESTPORTS HOLDINGS BERHAD,TRANSPORTATION & LOGISTICS,100
WHITE HORSE BHD,INDUSTRIAL PRODUCTS & SERVICES,50
WILLOWGLEN MSC BHD,TECHNOLOGY,50
WMG HOLDINGS BERHAD,PROPERTY,50
WONG ENGINEERING CORPORATION,INDUSTRIAL PRODUCTS & SERVICES,75
WOODLANDOR HOLDINGS BHD,INDUSTRIAL PRODUCTS & SERVICES,50
WTK HOLDINGS BHD,INDUSTRIAL PRODUCTS & SERVICES,50
XIDELANG HOLDINGS LTD,CONSUMER PRODUCTS & SERVICES,50
XIN HWA HOLDINGS BERHAD,TRANSPORTATION & LOGISTICS,50
XIN SYNERGY GROUP BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
XL HOLDINGS BERHAD,CONSUMER PRODUCTS & SERVICES,50
Y&G CORPORATION BHD,PROPERTY,50
Y.S.P.SOUTHEAST ASIA HOLDING,HEALTH CARE,75
YB VENTURES BERHAD,INDUSTRIAL PRODUCTS & SERVICES,50
YENHER HOLDINGS BERHAD,CONSUMER PRODUCTS & SERVICES,50
YINSON HOLDINGS BHD,ENERGY,100
YLI HOLDINGS BHD,INDUSTRIAL PRODUCTS & SERVICES,50
YNH PROPERTY BHD,PROPERTY,50
YONG TAI BHD,PROPERTY,50
YOONG ONN CORPORATION BERHAD,CONSUMER PRODUCTS & SERVICES,50
YTL CORPORATION BHD,UTILITIES,100
YTL HOSPITALITY REIT,REAL ESTATE INVESTMENT TRUSTS,75
YTL POWER INTERNATIONAL BHD,UTILITIES,75
YX PRECIOUS METALS BHD,CONSUMER PRODUCTS & SERVICES,50
ZECON BHD,CONSTRUCTION,50
ZELAN BHD,CONSTRUCTION,50
ZHULIAN CORPORATION BHD,CONSUMER PRODUCTS & SERVICES,50
